rank,package_name,version,declared_license,root_classification,total_dependencies,is_tainted,conflicting_copyleft_deps_count,conflicts_summary
5315,spryker/user-password-reset,1.6.0,proprietary,PERMISSIVE,49,NO,0,
5316,spryker/refund,5.15.1,proprietary,PERMISSIVE,87,NO,0,
5317,vaites/php-apache-tika,v1.4.1,MIT,PERMISSIVE,0,NO,0,
5318,spryker/cache,3.7.0,proprietary,PERMISSIVE,27,NO,0,
5319,mtownsend/remove-bg,2.0.1,MIT,PERMISSIVE,8,NO,0,
5320,zendframework/zend-feed,2.12.0,BSD-3-Clause,PERMISSIVE,2,NO,0,
5321,codeception/assert-throws,1.6.0,MIT,PERMISSIVE,27,NO,0,
5322,adldap2/adldap2,v10.5.0,MIT,PERMISSIVE,7,NO,0,
5323,spryker/url-storage,1.25.0,proprietary,PERMISSIVE,61,NO,0,
5324,spryker/security-blocker,1.3.1,proprietary,PERMISSIVE,31,NO,0,
5325,spryker/security,1.10.3,proprietary,PERMISSIVE,29,NO,0,
5326,ibexa/solr,v5.0.10,(GPL-2.0-only or proprietary),STRONG_COPYLEFT,75,NO,2,ibexa/core ((GPL-2.0-only or proprietary)); ibexa/doctrine-schema ((GPL-2.0-only or proprietary))
5327,spryker/publisher,1.3.1,proprietary,PERMISSIVE,33,NO,0,
5328,tomloprod/colority,v2.0.0,MIT,PERMISSIVE,0,NO,0,
5329,yiisoft/router-fastroute,4.0.3,BSD-3-Clause,PERMISSIVE,15,NO,0,
5330,spryker/availability-storage-extension,1.0.0,proprietary,PERMISSIVE,0,NO,0,
5331,mikemccabe/json-patch-php,0.1.0,LGPL-3.0,STRONG_COPYLEFT,0,NO,0,
5332,spryker/product-attribute-gui,2.3.0,proprietary,PERMISSIVE,63,NO,0,
5333,laravel/react-starter-kit,v1.0.1,MIT,PERMISSIVE,53,NO,0,
5334,spryker/session-redis-extension,1.2.0,proprietary,PERMISSIVE,24,NO,0,
5335,yiisoft/db,2.0.1,BSD-3-Clause,PERMISSIVE,4,NO,0,
5336,spryker/carts-rest-api-extension,1.8.0,proprietary,PERMISSIVE,0,NO,0,
5337,spryker/persistent-cart,3.14.0,proprietary,PERMISSIVE,28,NO,0,
5338,spryker-shop/shop-application,1.17.0,proprietary,PERMISSIVE,53,NO,0,
5339,spryker/discount,9.53.1,proprietary,PERMISSIVE,92,NO,0,
5340,postare/blade-mdi,v1.1.3,MIT,PERMISSIVE,20,NO,0,
5341,torann/laravel-asana,0.4.9,BSD-2-Clause,PERMISSIVE,17,NO,0,
5342,ibexa/fieldtype-matrix,v5.0.10,(GPL-2.0-only or proprietary),STRONG_COPYLEFT,84,NO,12,ibexa/content-forms ((GPL-2.0-only or proprietary)); ibexa/core ((GPL-2.0-only or proprietary)); ibexa/doctrine-schema ((GPL-2.0-only or proprietary)); ibexa/graphql ((GPL-2.0-only or proprietary)); ibexa/admin-ui ((GPL-2.0-only or proprietary)); ibexa/design-engine ((GPL-2.0-only or proprietary)); ibexa/rest ((GPL-2.0-only or proprietary)); ibexa/search ((GPL-2.0-only or proprietary)); ibexa/twig-components ((GPL-2.0-only or proprietary)); ibexa/user ((GPL-2.0-only or proprietary)); ibexa/fieldtype-richtext (GPL-2.0-only); ibexa/http-cache ((GPL-2.0-only or proprietary))
5343,yansongda/supports,v4.0.12,MIT,PERMISSIVE,0,NO,0,
5344,pear/structures_graph,v1.2.0,LGPL-3.0-or-later,STRONG_COPYLEFT,3,NO,0,
5345,spryker/maintenance,4.0.0,proprietary,PERMISSIVE,12,NO,0,
5346,spryker/price-cart-connector,6.14.0,proprietary,PERMISSIVE,61,NO,0,
5347,rlanvin/php-ip,v3.0.0,MIT,PERMISSIVE,0,NO,0,
5348,storyblok/richtext-resolver,2.2.1,MIT,PERMISSIVE,0,NO,0,
5349,spryker/cart-code-extension,1.2.0,proprietary,PERMISSIVE,0,NO,0,
5350,spryker/product-alternative-storage-extension,1.0.0,proprietary,PERMISSIVE,0,NO,0,
5351,spryker/sales-quantity-extension,1.0.0,proprietary,PERMISSIVE,0,NO,0,
5352,spryker/opentelemetry,1.21.0,proprietary,PERMISSIVE,91,YES,1,php-amqplib/php-amqplib (LGPL-2.1-or-later)
5353,spryker/payment-extension,1.1.0,proprietary,PERMISSIVE,0,NO,0,
5354,cakephp/elastic-search,5.0.1,MIT,PERMISSIVE,21,NO,0,
5355,spryker/shipment-gui,3.3.0,proprietary,PERMISSIVE,95,NO,0,
5356,spryker/file-system,2.2.0,proprietary,PERMISSIVE,28,NO,0,
5357,spryker/session-customer-validation-extension,1.1.0,proprietary,PERMISSIVE,0,NO,0,
5358,spryker/session-user-validation-extension,1.0.0,proprietary,PERMISSIVE,0,NO,0,
5359,spryker/security-gui,2.8.0,proprietary,PERMISSIVE,80,NO,0,
5360,symbiote/silverstripe-gridfieldextensions,5.2.1,BSD-3-Clause,PERMISSIVE,1,NO,0,
5361,miloschuman/yii2-highcharts-widget,v11.0,MIT,PERMISSIVE,9,YES,1,ezyang/htmlpurifier (LGPL-2.1-or-later)
5362,spryker/user-password-reset-extension,1.0.0,proprietary,PERMISSIVE,0,NO,0,
5363,mantas-done/subtitles,v2.0.3,MIT,PERMISSIVE,0,NO,0,
5364,jakubledl/dissect,v1.0.1,unlicense,PERMISSIVE,0,NO,0,
5365,spryker/store-gui,2.1.0,proprietary,PERMISSIVE,44,NO,0,
5366,qase/qase-api-v2-client,1.2.1,Apache-2.0,PERMISSIVE,8,NO,0,
5367,wearepixel/laravel-cart,3.0.0,MIT,PERMISSIVE,44,NO,0,
5368,pocketmine/color,0.3.1,LGPL-3.0,STRONG_COPYLEFT,0,NO,0,
5369,dusterio/laravel-plain-sqs,v0.1.28,MIT,PERMISSIVE,49,NO,0,
5370,spryker/csv,3.0.1,proprietary,PERMISSIVE,1,NO,0,
5371,spryker/product-quantity,3.8.0,proprietary,PERMISSIVE,46,NO,0,
5372,zizaco/entrust,1.9.1,MIT,PERMISSIVE,22,NO,0,
5373,spryker/index-generator,1.1.1,proprietary,PERMISSIVE,32,NO,0,
5374,stepanenko3/nova-command-runner,v4.5.1,MIT,PERMISSIVE,49,NO,0,
5375,christophrumpel/missing-livewire-assertions,v4.0.1,MIT,PERMISSIVE,20,NO,0,
5376,qase/qase-api-client,1.1.18,Apache-2.0,PERMISSIVE,8,NO,0,
5377,spryker-shop/shop-application-extension,1.2.0,proprietary,PERMISSIVE,0,NO,0,
5378,spryker/product-image-storage,1.21.0,proprietary,PERMISSIVE,55,NO,0,
5379,spryker/session-file,1.6.0,proprietary,PERMISSIVE,32,NO,0,
5380,spryker/product-cart-connector,4.15.0,proprietary,PERMISSIVE,59,NO,0,
5381,neomerx/json-api,v4.0.1,Apache-2.0,PERMISSIVE,0,NO,0,
5382,spryker/shipment-gui-extension,1.0.0,proprietary,PERMISSIVE,0,NO,0,
5383,spryker/sales-product-connector,1.11.2,proprietary,PERMISSIVE,102,NO,0,
5384,yiisoft/cookies,1.2.4,BSD-3-Clause,PERMISSIVE,8,NO,0,
