rank,package_name,version,declared_license,offender_package,offender_version,offender_license,copyleft_type,trace_path
8544,rebuy/amqp-php-consumer,v2.0.0,MIT,php-amqplib/php-amqplib,v3.7.4,LGPL-2.1-or-later,WEAK_COPYLEFT,rebuy/amqp-php-consumer@v2.0.0 (MIT) -> php-amqplib/php-amqplib@v3.7.4 (LGPL-2.1-or-later)
8547,horstoeko/zugferdvisualizer,v1.0.10,MIT,dompdf/dompdf,v3.1.6,LGPL-2.1,WEAK_COPYLEFT,horstoeko/zugferdvisualizer@v1.0.10 (MIT) -> dompdf/dompdf@v3.1.6 (LGPL-2.1)
8547,horstoeko/zugferdvisualizer,v1.0.10,MIT,dompdf/php-font-lib,1.0.2,LGPL-2.1-or-later,WEAK_COPYLEFT,horstoeko/zugferdvisualizer@v1.0.10 (MIT) -> dompdf/dompdf@v3.1.6 (LGPL-2.1) -> dompdf/php-font-lib@1.0.2 (LGPL-2.1-or-later)
8547,horstoeko/zugferdvisualizer,v1.0.10,MIT,dompdf/php-svg-lib,1.0.2,LGPL-3.0-or-later,STRONG_COPYLEFT,horstoeko/zugferdvisualizer@v1.0.10 (MIT) -> dompdf/dompdf@v3.1.6 (LGPL-2.1) -> dompdf/php-svg-lib@1.0.2 (LGPL-3.0-or-later)
8547,horstoeko/zugferdvisualizer,v1.0.10,MIT,smalot/pdfparser,v2.12.5,LGPL-3.0,STRONG_COPYLEFT,horstoeko/zugferdvisualizer@v1.0.10 (MIT) -> horstoeko/zugferd@v1.0.130 (MIT) -> smalot/pdfparser@v2.12.5 (LGPL-3.0)
8547,horstoeko/zugferdvisualizer,v1.0.10,MIT,mpdf/mpdf,v8.3.1,GPL-2.0-only,STRONG_COPYLEFT,horstoeko/zugferdvisualizer@v1.0.10 (MIT) -> mpdf/mpdf@v8.3.1 (GPL-2.0-only)
8577,contao-components/colorpicker,1.5.3,MIT,contao-components/installer,1.4.1,LGPL-3.0-or-later,STRONG_COPYLEFT,contao-components/colorpicker@1.5.3 (MIT) -> contao-components/installer@1.4.1 (LGPL-3.0-or-later)
8587,creagia/laravel-sign-pad,3.0.1,MIT,tecnickcom/tcpdf,7.0.7,LGPL-3.0-or-later,STRONG_COPYLEFT,creagia/laravel-sign-pad@3.0.1 (MIT) -> tecnickcom/tcpdf@7.0.7 (LGPL-3.0-or-later)
8587,creagia/laravel-sign-pad,3.0.1,MIT,tecnickcom/tc-lib-pdf,8.72.1,LGPL-3.0-or-later,STRONG_COPYLEFT,creagia/laravel-sign-pad@3.0.1 (MIT) -> tecnickcom/tcpdf@7.0.7 (LGPL-3.0-or-later) -> tecnickcom/tc-lib-pdf@8.72.1 (LGPL-3.0-or-later)
8587,creagia/laravel-sign-pad,3.0.1,MIT,tecnickcom/tc-lib-barcode,2.14.0,LGPL-3.0-or-later,STRONG_COPYLEFT,creagia/laravel-sign-pad@3.0.1 (MIT) -> tecnickcom/tcpdf@7.0.7 (LGPL-3.0-or-later) -> tecnickcom/tc-lib-pdf@8.72.1 (LGPL-3.0-or-later) -> tecnickcom/tc-lib-barcode@2.14.0 (LGPL-3.0-or-later)
8587,creagia/laravel-sign-pad,3.0.1,MIT,tecnickcom/tc-lib-color,3.0.2,LGPL-3.0-or-later,STRONG_COPYLEFT,creagia/laravel-sign-pad@3.0.1 (MIT) -> tecnickcom/tcpdf@7.0.7 (LGPL-3.0-or-later) -> tecnickcom/tc-lib-pdf@8.72.1 (LGPL-3.0-or-later) -> tecnickcom/tc-lib-color@3.0.2 (LGPL-3.0-or-later)
8587,creagia/laravel-sign-pad,3.0.1,MIT,tecnickcom/tc-lib-pdf-image,3.13.0,LGPL-3.0-or-later,STRONG_COPYLEFT,creagia/laravel-sign-pad@3.0.1 (MIT) -> tecnickcom/tcpdf@7.0.7 (LGPL-3.0-or-later) -> tecnickcom/tc-lib-pdf@8.72.1 (LGPL-3.0-or-later) -> tecnickcom/tc-lib-pdf-image@3.13.0 (LGPL-3.0-or-later)
8587,creagia/laravel-sign-pad,3.0.1,MIT,tecnickcom/tc-lib-pdf-font,4.3.1,LGPL-3.0-or-later,STRONG_COPYLEFT,creagia/laravel-sign-pad@3.0.1 (MIT) -> tecnickcom/tcpdf@7.0.7 (LGPL-3.0-or-later) -> tecnickcom/tc-lib-pdf@8.72.1 (LGPL-3.0-or-later) -> tecnickcom/tc-lib-pdf-font@4.3.1 (LGPL-3.0-or-later)
8587,creagia/laravel-sign-pad,3.0.1,MIT,tecnickcom/tc-lib-file,3.9.0,LGPL-3.0-or-later,STRONG_COPYLEFT,creagia/laravel-sign-pad@3.0.1 (MIT) -> tecnickcom/tcpdf@7.0.7 (LGPL-3.0-or-later) -> tecnickcom/tc-lib-pdf@8.72.1 (LGPL-3.0-or-later) -> tecnickcom/tc-lib-file@3.9.0 (LGPL-3.0-or-later)
8587,creagia/laravel-sign-pad,3.0.1,MIT,tecnickcom/tc-lib-pdf-encrypt,2.11.0,LGPL-3.0-or-later,STRONG_COPYLEFT,creagia/laravel-sign-pad@3.0.1 (MIT) -> tecnickcom/tcpdf@7.0.7 (LGPL-3.0-or-later) -> tecnickcom/tc-lib-pdf@8.72.1 (LGPL-3.0-or-later) -> tecnickcom/tc-lib-pdf-encrypt@2.11.0 (LGPL-3.0-or-later)
8587,creagia/laravel-sign-pad,3.0.1,MIT,tecnickcom/tc-lib-pdf-sign,2.0.1,LGPL-3.0-or-later,STRONG_COPYLEFT,creagia/laravel-sign-pad@3.0.1 (MIT) -> tecnickcom/tcpdf@7.0.7 (LGPL-3.0-or-later) -> tecnickcom/tc-lib-pdf@8.72.1 (LGPL-3.0-or-later) -> tecnickcom/tc-lib-pdf-sign@2.0.1 (LGPL-3.0-or-later)
8587,creagia/laravel-sign-pad,3.0.1,MIT,tecnickcom/tc-lib-unicode-data,3.0.5,LGPL-3.0-or-later,STRONG_COPYLEFT,creagia/laravel-sign-pad@3.0.1 (MIT) -> tecnickcom/tcpdf@7.0.7 (LGPL-3.0-or-later) -> tecnickcom/tc-lib-pdf@8.72.1 (LGPL-3.0-or-later) -> tecnickcom/tc-lib-unicode-data@3.0.5 (LGPL-3.0-or-later)
8587,creagia/laravel-sign-pad,3.0.1,MIT,tecnickcom/tc-lib-unicode,3.0.5,LGPL-3.0-or-later,STRONG_COPYLEFT,creagia/laravel-sign-pad@3.0.1 (MIT) -> tecnickcom/tcpdf@7.0.7 (LGPL-3.0-or-later) -> tecnickcom/tc-lib-pdf@8.72.1 (LGPL-3.0-or-later) -> tecnickcom/tc-lib-unicode@3.0.5 (LGPL-3.0-or-later)
8587,creagia/laravel-sign-pad,3.0.1,MIT,tecnickcom/tc-lib-pdf-page,4.15.1,LGPL-3.0-or-later,STRONG_COPYLEFT,creagia/laravel-sign-pad@3.0.1 (MIT) -> tecnickcom/tcpdf@7.0.7 (LGPL-3.0-or-later) -> tecnickcom/tc-lib-pdf@8.72.1 (LGPL-3.0-or-later) -> tecnickcom/tc-lib-pdf-page@4.15.1 (LGPL-3.0-or-later)
8587,creagia/laravel-sign-pad,3.0.1,MIT,tecnickcom/tc-lib-pdf-graph,2.16.0,LGPL-3.0-or-later,STRONG_COPYLEFT,creagia/laravel-sign-pad@3.0.1 (MIT) -> tecnickcom/tcpdf@7.0.7 (LGPL-3.0-or-later) -> tecnickcom/tc-lib-pdf@8.72.1 (LGPL-3.0-or-later) -> tecnickcom/tc-lib-pdf-graph@2.16.0 (LGPL-3.0-or-later)
8587,creagia/laravel-sign-pad,3.0.1,MIT,tecnickcom/tc-lib-pdf-parser,3.15.0,LGPL-3.0-or-later,STRONG_COPYLEFT,creagia/laravel-sign-pad@3.0.1 (MIT) -> tecnickcom/tcpdf@7.0.7 (LGPL-3.0-or-later) -> tecnickcom/tc-lib-pdf@8.72.1 (LGPL-3.0-or-later) -> tecnickcom/tc-lib-pdf-parser@3.15.0 (LGPL-3.0-or-later)
8605,ctidigital/magento2-configurator,4.0.1,Unspecified,firegento/fastsimpleimport,2.1.1,GPL-3.0,STRONG_COPYLEFT,ctidigital/magento2-configurator@4.0.1 (None) -> firegento/fastsimpleimport@2.1.1 (GPL-3.0)
8609,humanmade/psalm-plugin-wordpress,3.1.2,MIT,wp-hooks/wordpress-core,1.13.0,GPL-3.0-or-later,STRONG_COPYLEFT,humanmade/psalm-plugin-wordpress@3.1.2 (MIT) -> wp-hooks/wordpress-core@1.13.0 (GPL-3.0-or-later)
8609,humanmade/psalm-plugin-wordpress,3.1.2,MIT,netresearch/jsonmapper,v6.0.0,OSL-3.0,STRONG_COPYLEFT,humanmade/psalm-plugin-wordpress@3.1.2 (MIT) -> vimeo/psalm@6.16.1 (None) -> danog/advanced-json-rpc@v3.2.3 (ISC) -> netresearch/jsonmapper@v6.0.0 (OSL-3.0)
8622,sylius/adyen-plugin,v2.0.6,MIT,paragonie/halite,v5.1.4,MPL-2.0,WEAK_COPYLEFT,sylius/adyen-plugin@v2.0.6 (MIT) -> sylius/refund-plugin@v2.1.0 (MIT) -> sylius/sylius@v2.2.8 (None) -> paragonie/halite@v5.1.4 (MPL-2.0)
8622,sylius/adyen-plugin,v2.0.6,MIT,paragonie/hidden-string,v2.2.0,MPL-2.0,WEAK_COPYLEFT,sylius/adyen-plugin@v2.0.6 (MIT) -> sylius/sylius@v2.2.8 (None) -> paragonie/halite@v5.1.4 (MPL-2.0) -> paragonie/hidden-string@v2.2.0 (MPL-2.0)
8629,friendsoftypo3/headless,v4.8.1,Unspecified,typo3/cms-core,v14.3.6,GPL-2.0-or-later,STRONG_COPYLEFT,friendsoftypo3/headless@v4.8.1 (None) -> typo3/cms-core@v14.3.6 (GPL-2.0-or-later)
8629,friendsoftypo3/headless,v4.8.1,Unspecified,enshrined/svg-sanitize,0.22.0,GPL-2.0-or-later,STRONG_COPYLEFT,friendsoftypo3/headless@v4.8.1 (None) -> typo3/cms-core@v14.3.6 (GPL-2.0-or-later) -> enshrined/svg-sanitize@0.22.0 (GPL-2.0-or-later)
8629,friendsoftypo3/headless,v4.8.1,Unspecified,typo3/cms-cli,v3.1.3,GPL-2.0-or-later,STRONG_COPYLEFT,friendsoftypo3/headless@v4.8.1 (None) -> typo3/cms-core@v14.3.6 (GPL-2.0-or-later) -> typo3/cms-cli@v3.1.3 (GPL-2.0-or-later)
8629,friendsoftypo3/headless,v4.8.1,Unspecified,typo3/cms-composer-installers,v5.0.2,GPL-2.0-or-later,STRONG_COPYLEFT,friendsoftypo3/headless@v4.8.1 (None) -> typo3/cms-core@v14.3.6 (GPL-2.0-or-later) -> typo3/cms-composer-installers@v5.0.2 (GPL-2.0-or-later)
8629,friendsoftypo3/headless,v4.8.1,Unspecified,typo3fluid/fluid,5.3.1,LGPL-3.0-or-later,STRONG_COPYLEFT,friendsoftypo3/headless@v4.8.1 (None) -> typo3/cms-core@v14.3.6 (GPL-2.0-or-later) -> typo3fluid/fluid@5.3.1 (LGPL-3.0-or-later)
8629,friendsoftypo3/headless,v4.8.1,Unspecified,typo3/cms-install,v14.3.6,GPL-2.0-or-later,STRONG_COPYLEFT,friendsoftypo3/headless@v4.8.1 (None) -> typo3/cms-install@v14.3.6 (GPL-2.0-or-later)
8629,friendsoftypo3/headless,v4.8.1,Unspecified,typo3/cms-extbase,v14.3.6,GPL-2.0-or-later,STRONG_COPYLEFT,friendsoftypo3/headless@v4.8.1 (None) -> typo3/cms-install@v14.3.6 (GPL-2.0-or-later) -> typo3/cms-extbase@v14.3.6 (GPL-2.0-or-later)
8629,friendsoftypo3/headless,v4.8.1,Unspecified,typo3/cms-fluid,v14.3.6,GPL-2.0-or-later,STRONG_COPYLEFT,friendsoftypo3/headless@v4.8.1 (None) -> typo3/cms-install@v14.3.6 (GPL-2.0-or-later) -> typo3/cms-fluid@v14.3.6 (GPL-2.0-or-later)
8634,sylius/wishlist-plugin,v1.3.0,MIT,paragonie/halite,v5.1.4,MPL-2.0,WEAK_COPYLEFT,sylius/wishlist-plugin@v1.3.0 (MIT) -> sylius/sylius@v2.2.8 (None) -> paragonie/halite@v5.1.4 (MPL-2.0)
8634,sylius/wishlist-plugin,v1.3.0,MIT,paragonie/hidden-string,v2.2.0,MPL-2.0,WEAK_COPYLEFT,sylius/wishlist-plugin@v1.3.0 (MIT) -> sylius/sylius@v2.2.8 (None) -> paragonie/halite@v5.1.4 (MPL-2.0) -> paragonie/hidden-string@v2.2.0 (MPL-2.0)
8634,sylius/wishlist-plugin,v1.3.0,MIT,dompdf/dompdf,v3.1.6,LGPL-2.1,WEAK_COPYLEFT,sylius/wishlist-plugin@v1.3.0 (MIT) -> dompdf/dompdf@v3.1.6 (LGPL-2.1)
8634,sylius/wishlist-plugin,v1.3.0,MIT,dompdf/php-font-lib,1.0.2,LGPL-2.1-or-later,WEAK_COPYLEFT,sylius/wishlist-plugin@v1.3.0 (MIT) -> dompdf/dompdf@v3.1.6 (LGPL-2.1) -> dompdf/php-font-lib@1.0.2 (LGPL-2.1-or-later)
8634,sylius/wishlist-plugin,v1.3.0,MIT,dompdf/php-svg-lib,1.0.2,LGPL-3.0-or-later,STRONG_COPYLEFT,sylius/wishlist-plugin@v1.3.0 (MIT) -> dompdf/dompdf@v3.1.6 (LGPL-2.1) -> dompdf/php-svg-lib@1.0.2 (LGPL-3.0-or-later)
8681,pagarme/pagarme-php-sdk,7.0.1,MIT,apimatic/jsonmapper,3.1.7,OSL-3.0,STRONG_COPYLEFT,pagarme/pagarme-php-sdk@7.0.1 (MIT) -> apimatic/core@0.3.18 (MIT) -> apimatic/jsonmapper@3.1.7 (OSL-3.0)
8695,monsieurbiz/sylius-rich-editor-plugin,v3.1.8,MIT,paragonie/halite,v5.1.4,MPL-2.0,WEAK_COPYLEFT,monsieurbiz/sylius-rich-editor-plugin@v3.1.8 (MIT) -> sylius/sylius@v2.2.8 (None) -> paragonie/halite@v5.1.4 (MPL-2.0)
8695,monsieurbiz/sylius-rich-editor-plugin,v3.1.8,MIT,paragonie/hidden-string,v2.2.0,MPL-2.0,WEAK_COPYLEFT,monsieurbiz/sylius-rich-editor-plugin@v3.1.8 (MIT) -> sylius/sylius@v2.2.8 (None) -> paragonie/halite@v5.1.4 (MPL-2.0) -> paragonie/hidden-string@v2.2.0 (MPL-2.0)
8718,2amigos/yii2-selectize-widget,1.1.0,BSD-3-Clause,ezyang/htmlpurifier,v4.19.0,LGPL-2.1-or-later,WEAK_COPYLEFT,2amigos/yii2-selectize-widget@1.1.0 (BSD-3-Clause) -> yiisoft/yii2@2.0.55 (BSD-3-Clause) -> ezyang/htmlpurifier@v4.19.0 (LGPL-2.1-or-later)
8724,yiisoft/yii2-sphinx,2.0.16,BSD-3-Clause,ezyang/htmlpurifier,v4.19.0,LGPL-2.1-or-later,WEAK_COPYLEFT,yiisoft/yii2-sphinx@2.0.16 (BSD-3-Clause) -> yiisoft/yii2@2.0.55 (BSD-3-Clause) -> ezyang/htmlpurifier@v4.19.0 (LGPL-2.1-or-later)
8729,phpdocumentor/phpdocumentor,v3.10.0,MIT,jawira/plantuml,v1.2026.6,GPL-3.0-or-later,STRONG_COPYLEFT,phpdocumentor/phpdocumentor@v3.10.0 (MIT) -> jawira/plantuml@v1.2026.6 (GPL-3.0-or-later)
8740,craftcms/flysystem,2.0.1,MIT,enshrined/svg-sanitize,0.22.0,GPL-2.0-or-later,STRONG_COPYLEFT,craftcms/flysystem@2.0.1 (MIT) -> craftcms/cms@5.10.14 (None) -> enshrined/svg-sanitize@0.22.0 (GPL-2.0-or-later)
8740,craftcms/flysystem,2.0.1,MIT,ezyang/htmlpurifier,v4.19.0,LGPL-2.1-or-later,WEAK_COPYLEFT,craftcms/flysystem@2.0.1 (MIT) -> craftcms/cms@5.10.14 (None) -> yiisoft/yii2@2.0.55 (BSD-3-Clause) -> ezyang/htmlpurifier@v4.19.0 (LGPL-2.1-or-later)
8806,bashkarev/clickhouse,2.0.5,MIT,ezyang/htmlpurifier,v4.19.0,LGPL-2.1-or-later,WEAK_COPYLEFT,bashkarev/clickhouse@2.0.5 (MIT) -> yiisoft/yii2@2.0.55 (BSD-3-Clause) -> ezyang/htmlpurifier@v4.19.0 (LGPL-2.1-or-later)
8811,horstoeko/zugferd-laravel,v1.0.5,MIT,smalot/pdfparser,v2.12.5,LGPL-3.0,STRONG_COPYLEFT,horstoeko/zugferd-laravel@v1.0.5 (MIT) -> horstoeko/zugferd@v1.0.130 (MIT) -> smalot/pdfparser@v2.12.5 (LGPL-3.0)
8827,jbzoo/codestyle,8.0.0,MIT,netresearch/jsonmapper,v6.0.0,OSL-3.0,STRONG_COPYLEFT,jbzoo/codestyle@8.0.0 (MIT) -> vimeo/psalm@6.16.1 (None) -> danog/advanced-json-rpc@v3.2.3 (ISC) -> netresearch/jsonmapper@v6.0.0 (OSL-3.0)
8828,rmrevin/yii2-minify-view,2.0.0,MIT,ezyang/htmlpurifier,v4.19.0,LGPL-2.1-or-later,WEAK_COPYLEFT,rmrevin/yii2-minify-view@2.0.0 (MIT) -> yiisoft/yii2@2.0.55 (BSD-3-Clause) -> ezyang/htmlpurifier@v4.19.0 (LGPL-2.1-or-later)
8911,codedredd/laravel-soap,v4.0.0,MIT,paragonie/hidden-string,v2.2.0,MPL-2.0,WEAK_COPYLEFT,codedredd/laravel-soap@v4.0.0 (MIT) -> php-soap/psr18-wsse-middleware@3.0.0 (None) -> paragonie/hidden-string@v2.2.0 (MPL-2.0)
8936,craftcms/generator,2.2.0,mit,enshrined/svg-sanitize,0.22.0,GPL-2.0-or-later,STRONG_COPYLEFT,craftcms/generator@2.2.0 (mit) -> craftcms/cms@5.10.14 (None) -> enshrined/svg-sanitize@0.22.0 (GPL-2.0-or-later)
8936,craftcms/generator,2.2.0,mit,ezyang/htmlpurifier,v4.19.0,LGPL-2.1-or-later,WEAK_COPYLEFT,craftcms/generator@2.2.0 (mit) -> craftcms/cms@5.10.14 (None) -> yiisoft/yii2@2.0.55 (BSD-3-Clause) -> ezyang/htmlpurifier@v4.19.0 (LGPL-2.1-or-later)
8982,orklah/psalm-insane-comparison,v2.4.0,MIT,netresearch/jsonmapper,v6.0.0,OSL-3.0,STRONG_COPYLEFT,orklah/psalm-insane-comparison@v2.4.0 (MIT) -> vimeo/psalm@6.16.1 (None) -> danog/advanced-json-rpc@v3.2.3 (ISC) -> netresearch/jsonmapper@v6.0.0 (OSL-3.0)
8989,studio1902/statamic-peak-tools,v9.2.1,Unspecified,james-heinrich/getid3,v1.9.25,"GPL-1.0-or-later, LGPL-3.0-only",STRONG_COPYLEFT,"studio1902/statamic-peak-tools@v9.2.1 (None) -> statamic/cms@v6.30.0 (proprietary) -> james-heinrich/getid3@v1.9.25 (GPL-1.0-or-later, LGPL-3.0-only, MPL-2.0)"
9041,yii2tech/spreadsheet,1.0.5,BSD-3-Clause,ezyang/htmlpurifier,v4.19.0,LGPL-2.1-or-later,WEAK_COPYLEFT,yii2tech/spreadsheet@1.0.5 (BSD-3-Clause) -> yiisoft/yii2@2.0.55 (BSD-3-Clause) -> ezyang/htmlpurifier@v4.19.0 (LGPL-2.1-or-later)
9061,jbzoo/toolbox-dev,8.0.0,MIT,netresearch/jsonmapper,v6.0.0,OSL-3.0,STRONG_COPYLEFT,jbzoo/toolbox-dev@8.0.0 (MIT) -> jbzoo/codestyle@8.0.0 (MIT) -> vimeo/psalm@6.16.1 (None) -> netresearch/jsonmapper@v6.0.0 (OSL-3.0)
9116,asofter/yii2-imperavi-redactor,0.0.3,BSD-3-Clause,ezyang/htmlpurifier,v4.19.0,LGPL-2.1-or-later,WEAK_COPYLEFT,asofter/yii2-imperavi-redactor@0.0.3 (BSD-3-Clause) -> yiisoft/yii2@2.0.55 (BSD-3-Clause) -> ezyang/htmlpurifier@v4.19.0 (LGPL-2.1-or-later)
9121,alperenersoy/filament-export,v4.0.1,MIT,dompdf/dompdf,v3.1.6,LGPL-2.1,WEAK_COPYLEFT,alperenersoy/filament-export@v4.0.1 (MIT) -> barryvdh/laravel-dompdf@v3.1.2 (MIT) -> dompdf/dompdf@v3.1.6 (LGPL-2.1)
9121,alperenersoy/filament-export,v4.0.1,MIT,dompdf/php-font-lib,1.0.2,LGPL-2.1-or-later,WEAK_COPYLEFT,alperenersoy/filament-export@v4.0.1 (MIT) -> barryvdh/laravel-dompdf@v3.1.2 (MIT) -> dompdf/dompdf@v3.1.6 (LGPL-2.1) -> dompdf/php-font-lib@1.0.2 (LGPL-2.1-or-later)
9121,alperenersoy/filament-export,v4.0.1,MIT,dompdf/php-svg-lib,1.0.2,LGPL-3.0-or-later,STRONG_COPYLEFT,alperenersoy/filament-export@v4.0.1 (MIT) -> barryvdh/laravel-dompdf@v3.1.2 (MIT) -> dompdf/dompdf@v3.1.6 (LGPL-2.1) -> dompdf/php-svg-lib@1.0.2 (LGPL-3.0-or-later)
9136,yiisoft/yii2-codeception,2.0.6,BSD-3-Clause,ezyang/htmlpurifier,v4.19.0,LGPL-2.1-or-later,WEAK_COPYLEFT,yiisoft/yii2-codeception@2.0.6 (BSD-3-Clause) -> yiisoft/yii2@2.0.55 (BSD-3-Clause) -> ezyang/htmlpurifier@v4.19.0 (LGPL-2.1-or-later)
9164,oxid-esales/oxideshop-metapackage-ce,v7.5.0,Unspecified,makaira/oxid-connect-essential,2.2.1,GPL-3.0-or-later,STRONG_COPYLEFT,oxid-esales/oxideshop-metapackage-ce@v7.5.0 (None) -> makaira/oxid-connect-essential@2.2.1 (GPL-3.0-or-later)
9164,oxid-esales/oxideshop-metapackage-ce,v7.5.0,Unspecified,phpmailer/phpmailer,v7.1.1,LGPL-2.1-only,WEAK_COPYLEFT,oxid-esales/oxideshop-metapackage-ce@v7.5.0 (None) -> oxid-esales/oxideshop-ce@v7.5.1 (None) -> phpmailer/phpmailer@v7.1.1 (LGPL-2.1-only)
9234,shopware/docker,0.3.0,MIT,dompdf/dompdf,v3.1.6,LGPL-2.1,WEAK_COPYLEFT,shopware/docker@0.3.0 (MIT) -> shopware/core@v6.7.13.1 (MIT) -> dompdf/dompdf@v3.1.6 (LGPL-2.1)
9234,shopware/docker,0.3.0,MIT,dompdf/php-font-lib,1.0.2,LGPL-2.1-or-later,WEAK_COPYLEFT,shopware/docker@0.3.0 (MIT) -> shopware/core@v6.7.13.1 (MIT) -> dompdf/dompdf@v3.1.6 (LGPL-2.1) -> dompdf/php-font-lib@1.0.2 (LGPL-2.1-or-later)
9234,shopware/docker,0.3.0,MIT,dompdf/php-svg-lib,1.0.2,LGPL-3.0-or-later,STRONG_COPYLEFT,shopware/docker@0.3.0 (MIT) -> shopware/core@v6.7.13.1 (MIT) -> dompdf/dompdf@v3.1.6 (LGPL-2.1) -> dompdf/php-svg-lib@1.0.2 (LGPL-3.0-or-later)
9234,shopware/docker,0.3.0,MIT,ezyang/htmlpurifier,v4.19.0,LGPL-2.1-or-later,WEAK_COPYLEFT,shopware/docker@0.3.0 (MIT) -> shopware/core@v6.7.13.1 (MIT) -> ezyang/htmlpurifier@v4.19.0 (LGPL-2.1-or-later)
9234,shopware/docker,0.3.0,MIT,smalot/pdfparser,v2.12.5,LGPL-3.0,STRONG_COPYLEFT,shopware/docker@0.3.0 (MIT) -> shopware/core@v6.7.13.1 (MIT) -> horstoeko/zugferd@v1.0.130 (MIT) -> smalot/pdfparser@v2.12.5 (LGPL-3.0)
9234,shopware/docker,0.3.0,MIT,setasign/tfpdf,v1.33,LGPL-2.1,WEAK_COPYLEFT,shopware/docker@0.3.0 (MIT) -> shopware/core@v6.7.13.1 (MIT) -> setasign/tfpdf@v1.33 (LGPL-2.1)
9263,xj/yii2-jplayer-widget,2.9.0.1,BSD-3-Clause,ezyang/htmlpurifier,v4.19.0,LGPL-2.1-or-later,WEAK_COPYLEFT,xj/yii2-jplayer-widget@2.9.0.1 (BSD-3-Clause) -> yiisoft/yii2@2.0.55 (BSD-3-Clause) -> ezyang/htmlpurifier@v4.19.0 (LGPL-2.1-or-later)
9270,swag/paypal,10.8.2,MIT,dompdf/dompdf,v3.1.6,LGPL-2.1,WEAK_COPYLEFT,swag/paypal@10.8.2 (MIT) -> shopware/core@v6.7.13.1 (MIT) -> dompdf/dompdf@v3.1.6 (LGPL-2.1)
9270,swag/paypal,10.8.2,MIT,dompdf/php-font-lib,1.0.2,LGPL-2.1-or-later,WEAK_COPYLEFT,swag/paypal@10.8.2 (MIT) -> shopware/core@v6.7.13.1 (MIT) -> dompdf/dompdf@v3.1.6 (LGPL-2.1) -> dompdf/php-font-lib@1.0.2 (LGPL-2.1-or-later)
9270,swag/paypal,10.8.2,MIT,dompdf/php-svg-lib,1.0.2,LGPL-3.0-or-later,STRONG_COPYLEFT,swag/paypal@10.8.2 (MIT) -> shopware/core@v6.7.13.1 (MIT) -> dompdf/dompdf@v3.1.6 (LGPL-2.1) -> dompdf/php-svg-lib@1.0.2 (LGPL-3.0-or-later)
9270,swag/paypal,10.8.2,MIT,ezyang/htmlpurifier,v4.19.0,LGPL-2.1-or-later,WEAK_COPYLEFT,swag/paypal@10.8.2 (MIT) -> shopware/core@v6.7.13.1 (MIT) -> ezyang/htmlpurifier@v4.19.0 (LGPL-2.1-or-later)
9270,swag/paypal,10.8.2,MIT,smalot/pdfparser,v2.12.5,LGPL-3.0,STRONG_COPYLEFT,swag/paypal@10.8.2 (MIT) -> shopware/core@v6.7.13.1 (MIT) -> horstoeko/zugferd@v1.0.130 (MIT) -> smalot/pdfparser@v2.12.5 (LGPL-3.0)
9270,swag/paypal,10.8.2,MIT,setasign/tfpdf,v1.33,LGPL-2.1,WEAK_COPYLEFT,swag/paypal@10.8.2 (MIT) -> shopware/core@v6.7.13.1 (MIT) -> setasign/tfpdf@v1.33 (LGPL-2.1)
9294,craftcms/redactor,4.2.0,MIT,enshrined/svg-sanitize,0.22.0,GPL-2.0-or-later,STRONG_COPYLEFT,craftcms/redactor@4.2.0 (MIT) -> craftcms/cms@5.10.14 (None) -> enshrined/svg-sanitize@0.22.0 (GPL-2.0-or-later)
9294,craftcms/redactor,4.2.0,MIT,ezyang/htmlpurifier,v4.19.0,LGPL-2.1-or-later,WEAK_COPYLEFT,craftcms/redactor@4.2.0 (MIT) -> craftcms/cms@5.10.14 (None) -> yiisoft/yii2@2.0.55 (BSD-3-Clause) -> ezyang/htmlpurifier@v4.19.0 (LGPL-2.1-or-later)
9324,nystudio107/craft-seomatic,5.1.22,proprietary,enshrined/svg-sanitize,0.22.0,GPL-2.0-or-later,STRONG_COPYLEFT,nystudio107/craft-seomatic@5.1.22 (proprietary) -> craftcms/cms@5.10.14 (None) -> enshrined/svg-sanitize@0.22.0 (GPL-2.0-or-later)
9324,nystudio107/craft-seomatic,5.1.22,proprietary,ezyang/htmlpurifier,v4.19.0,LGPL-2.1-or-later,WEAK_COPYLEFT,nystudio107/craft-seomatic@5.1.22 (proprietary) -> craftcms/cms@5.10.14 (None) -> yiisoft/yii2@2.0.55 (BSD-3-Clause) -> ezyang/htmlpurifier@v4.19.0 (LGPL-2.1-or-later)
9437,liuggio/excelbundle,v2.1.0,MIT,phpoffice/phpexcel,1.8.2,LGPL-2.1,WEAK_COPYLEFT,liuggio/excelbundle@v2.1.0 (MIT) -> phpoffice/phpexcel@1.8.2 (LGPL-2.1)
9476,keepa/php_api,3.0.3,Apache-2.0,netresearch/jsonmapper,v6.0.0,OSL-3.0,STRONG_COPYLEFT,keepa/php_api@3.0.3 (Apache-2.0) -> netresearch/jsonmapper@v6.0.0 (OSL-3.0)
9500,kdyby/rabbitmq,v3.1.0,MIT,php-amqplib/php-amqplib,v3.7.4,LGPL-2.1-or-later,WEAK_COPYLEFT,kdyby/rabbitmq@v3.1.0 (MIT) -> php-amqplib/php-amqplib@v3.7.4 (LGPL-2.1-or-later)
