rank,package_name,version,declared_license,offender_package,offender_version,offender_license,copyleft_type,trace_path
7452,liip/serializer,3.3.0,MIT,pnz/json-exception,v1.0.1,GPL-3.0,STRONG_COPYLEFT,liip/serializer@3.3.0 (MIT) -> pnz/json-exception@v1.0.1 (GPL-3.0)
7511,linslin/yii2-curl,1.5.0,MIT,ezyang/htmlpurifier,v4.19.0,LGPL-2.1-or-later,WEAK_COPYLEFT,linslin/yii2-curl@1.5.0 (MIT) -> yiisoft/yii2@2.0.55 (BSD-3-Clause) -> ezyang/htmlpurifier@v4.19.0 (LGPL-2.1-or-later)
7537,acquia/blt,13.7.4,Unspecified,acquia/drupal-environment-detector,1.8.0,GPL-2.0-or-later,STRONG_COPYLEFT,acquia/blt@13.7.4 (None) -> acquia/drupal-environment-detector@1.8.0 (GPL-2.0-or-later)
7537,acquia/blt,13.7.4,Unspecified,drupal/core,11.4.5,GPL-2.0-or-later,STRONG_COPYLEFT,acquia/blt@13.7.4 (None) -> drupal/core@11.4.5 (GPL-2.0-or-later)
7537,acquia/blt,13.7.4,Unspecified,drupal/core-composer-scaffold,11.4.5,GPL-2.0-or-later,STRONG_COPYLEFT,acquia/blt@13.7.4 (None) -> drupal/core@11.4.5 (GPL-2.0-or-later) -> drupal/core-composer-scaffold@11.4.5 (GPL-2.0-or-later)
7537,acquia/blt,13.7.4,Unspecified,drush/drush,13.7.6,GPL-2.0-or-later,STRONG_COPYLEFT,acquia/blt@13.7.4 (None) -> drush/drush@13.7.6 (GPL-2.0-or-later)
7537,acquia/blt,13.7.4,Unspecified,chi-teck/drupal-code-generator,4.2.0,GPL-2.0-or-later,STRONG_COPYLEFT,acquia/blt@13.7.4 (None) -> drush/drush@13.7.6 (GPL-2.0-or-later) -> chi-teck/drupal-code-generator@4.2.0 (GPL-2.0-or-later)
7637,ehaerer/paste-reference,5.0.0,MIT,typo3/cms-backend,v14.3.6,GPL-2.0-or-later,STRONG_COPYLEFT,ehaerer/paste-reference@5.0.0 (MIT) -> typo3/cms-backend@v14.3.6 (GPL-2.0-or-later)
7637,ehaerer/paste-reference,5.0.0,MIT,typo3/cms-core,v14.3.6,GPL-2.0-or-later,STRONG_COPYLEFT,ehaerer/paste-reference@5.0.0 (MIT) -> typo3/cms-backend@v14.3.6 (GPL-2.0-or-later) -> typo3/cms-core@v14.3.6 (GPL-2.0-or-later)
7637,ehaerer/paste-reference,5.0.0,MIT,enshrined/svg-sanitize,0.22.0,GPL-2.0-or-later,STRONG_COPYLEFT,ehaerer/paste-reference@5.0.0 (MIT) -> typo3/cms-backend@v14.3.6 (GPL-2.0-or-later) -> typo3/cms-core@v14.3.6 (GPL-2.0-or-later) -> enshrined/svg-sanitize@0.22.0 (GPL-2.0-or-later)
7637,ehaerer/paste-reference,5.0.0,MIT,typo3/cms-cli,v3.1.3,GPL-2.0-or-later,STRONG_COPYLEFT,ehaerer/paste-reference@5.0.0 (MIT) -> typo3/cms-backend@v14.3.6 (GPL-2.0-or-later) -> typo3/cms-core@v14.3.6 (GPL-2.0-or-later) -> typo3/cms-cli@v3.1.3 (GPL-2.0-or-later)
7637,ehaerer/paste-reference,5.0.0,MIT,typo3/cms-composer-installers,v5.0.2,GPL-2.0-or-later,STRONG_COPYLEFT,ehaerer/paste-reference@5.0.0 (MIT) -> typo3/cms-backend@v14.3.6 (GPL-2.0-or-later) -> typo3/cms-core@v14.3.6 (GPL-2.0-or-later) -> typo3/cms-composer-installers@v5.0.2 (GPL-2.0-or-later)
7637,ehaerer/paste-reference,5.0.0,MIT,typo3fluid/fluid,5.3.1,LGPL-3.0-or-later,STRONG_COPYLEFT,ehaerer/paste-reference@5.0.0 (MIT) -> typo3/cms-backend@v14.3.6 (GPL-2.0-or-later) -> typo3/cms-core@v14.3.6 (GPL-2.0-or-later) -> typo3fluid/fluid@5.3.1 (LGPL-3.0-or-later)
7691,neos/neos,9.1.8,Unspecified,typo3fluid/fluid,5.3.1,LGPL-3.0-or-later,STRONG_COPYLEFT,neos/neos@9.1.8 (None) -> neos/media-browser@9.1.8 (None) -> neos/fluid-adaptor@9.1.2 (None) -> typo3fluid/fluid@5.3.1 (LGPL-3.0-or-later)
7691,neos/neos,9.1.8,Unspecified,enshrined/svg-sanitize,0.22.0,GPL-2.0-or-later,STRONG_COPYLEFT,neos/neos@9.1.8 (None) -> neos/media-browser@9.1.8 (None) -> enshrined/svg-sanitize@0.22.0 (GPL-2.0-or-later)
7691,neos/neos,9.1.8,Unspecified,neos/fusion-form,v3.1.1,GPL-3.0-or-later,STRONG_COPYLEFT,neos/neos@9.1.8 (None) -> neos/fusion-form@v3.1.1 (GPL-3.0-or-later)
7725,neos/media-browser,9.1.8,Unspecified,typo3fluid/fluid,5.3.1,LGPL-3.0-or-later,STRONG_COPYLEFT,neos/media-browser@9.1.8 (None) -> neos/media@9.1.8 (None) -> neos/fluid-adaptor@9.1.2 (None) -> typo3fluid/fluid@5.3.1 (LGPL-3.0-or-later)
7725,neos/media-browser,9.1.8,Unspecified,neos/fusion-form,v3.1.1,GPL-3.0-or-later,STRONG_COPYLEFT,neos/media-browser@9.1.8 (None) -> neos/neos@9.1.8 (None) -> neos/fusion-form@v3.1.1 (GPL-3.0-or-later)
7725,neos/media-browser,9.1.8,Unspecified,enshrined/svg-sanitize,0.22.0,GPL-2.0-or-later,STRONG_COPYLEFT,neos/media-browser@9.1.8 (None) -> enshrined/svg-sanitize@0.22.0 (GPL-2.0-or-later)
7732,owen-oj/laravel-getid3,v2.6.0,MIT,james-heinrich/getid3,v1.9.25,"GPL-1.0-or-later, LGPL-3.0-only",STRONG_COPYLEFT,"owen-oj/laravel-getid3@v2.6.0 (MIT) -> james-heinrich/getid3@v1.9.25 (GPL-1.0-or-later, LGPL-3.0-only, MPL-2.0)"
7789,frosh/sentry-bundle,0.3.2,MIT,dompdf/dompdf,v3.1.6,LGPL-2.1,WEAK_COPYLEFT,frosh/sentry-bundle@0.3.2 (MIT) -> shopware/core@v6.7.13.1 (MIT) -> dompdf/dompdf@v3.1.6 (LGPL-2.1)
7789,frosh/sentry-bundle,0.3.2,MIT,dompdf/php-font-lib,1.0.2,LGPL-2.1-or-later,WEAK_COPYLEFT,frosh/sentry-bundle@0.3.2 (MIT) -> shopware/core@v6.7.13.1 (MIT) -> dompdf/dompdf@v3.1.6 (LGPL-2.1) -> dompdf/php-font-lib@1.0.2 (LGPL-2.1-or-later)
7789,frosh/sentry-bundle,0.3.2,MIT,dompdf/php-svg-lib,1.0.2,LGPL-3.0-or-later,STRONG_COPYLEFT,frosh/sentry-bundle@0.3.2 (MIT) -> shopware/core@v6.7.13.1 (MIT) -> dompdf/dompdf@v3.1.6 (LGPL-2.1) -> dompdf/php-svg-lib@1.0.2 (LGPL-3.0-or-later)
7789,frosh/sentry-bundle,0.3.2,MIT,ezyang/htmlpurifier,v4.19.0,LGPL-2.1-or-later,WEAK_COPYLEFT,frosh/sentry-bundle@0.3.2 (MIT) -> shopware/core@v6.7.13.1 (MIT) -> ezyang/htmlpurifier@v4.19.0 (LGPL-2.1-or-later)
7789,frosh/sentry-bundle,0.3.2,MIT,smalot/pdfparser,v2.12.5,LGPL-3.0,STRONG_COPYLEFT,frosh/sentry-bundle@0.3.2 (MIT) -> shopware/core@v6.7.13.1 (MIT) -> horstoeko/zugferd@v1.0.130 (MIT) -> smalot/pdfparser@v2.12.5 (LGPL-3.0)
7789,frosh/sentry-bundle,0.3.2,MIT,setasign/tfpdf,v1.33,LGPL-2.1,WEAK_COPYLEFT,frosh/sentry-bundle@0.3.2 (MIT) -> shopware/core@v6.7.13.1 (MIT) -> setasign/tfpdf@v1.33 (LGPL-2.1)
7807,frosh/mail-platform-archive,3.6.0,MIT,dompdf/dompdf,v3.1.6,LGPL-2.1,WEAK_COPYLEFT,frosh/mail-platform-archive@3.6.0 (MIT) -> shopware/core@v6.7.13.1 (MIT) -> dompdf/dompdf@v3.1.6 (LGPL-2.1)
7807,frosh/mail-platform-archive,3.6.0,MIT,dompdf/php-font-lib,1.0.2,LGPL-2.1-or-later,WEAK_COPYLEFT,frosh/mail-platform-archive@3.6.0 (MIT) -> shopware/core@v6.7.13.1 (MIT) -> dompdf/dompdf@v3.1.6 (LGPL-2.1) -> dompdf/php-font-lib@1.0.2 (LGPL-2.1-or-later)
7807,frosh/mail-platform-archive,3.6.0,MIT,dompdf/php-svg-lib,1.0.2,LGPL-3.0-or-later,STRONG_COPYLEFT,frosh/mail-platform-archive@3.6.0 (MIT) -> shopware/core@v6.7.13.1 (MIT) -> dompdf/dompdf@v3.1.6 (LGPL-2.1) -> dompdf/php-svg-lib@1.0.2 (LGPL-3.0-or-later)
7807,frosh/mail-platform-archive,3.6.0,MIT,ezyang/htmlpurifier,v4.19.0,LGPL-2.1-or-later,WEAK_COPYLEFT,frosh/mail-platform-archive@3.6.0 (MIT) -> shopware/core@v6.7.13.1 (MIT) -> ezyang/htmlpurifier@v4.19.0 (LGPL-2.1-or-later)
7807,frosh/mail-platform-archive,3.6.0,MIT,smalot/pdfparser,v2.12.5,LGPL-3.0,STRONG_COPYLEFT,frosh/mail-platform-archive@3.6.0 (MIT) -> shopware/core@v6.7.13.1 (MIT) -> horstoeko/zugferd@v1.0.130 (MIT) -> smalot/pdfparser@v2.12.5 (LGPL-3.0)
7807,frosh/mail-platform-archive,3.6.0,MIT,setasign/tfpdf,v1.33,LGPL-2.1,WEAK_COPYLEFT,frosh/mail-platform-archive@3.6.0 (MIT) -> shopware/core@v6.7.13.1 (MIT) -> setasign/tfpdf@v1.33 (LGPL-2.1)
7821,dektrium/yii2-rbac,1.0.1,MIT,ezyang/htmlpurifier,v4.19.0,LGPL-2.1-or-later,WEAK_COPYLEFT,dektrium/yii2-rbac@1.0.1 (MIT) -> yiisoft/yii2@2.0.55 (BSD-3-Clause) -> ezyang/htmlpurifier@v4.19.0 (LGPL-2.1-or-later)
7824,friendsofsylius/sylius-import-export-plugin,0.28.0,MIT,paragonie/halite,v5.1.4,MPL-2.0,WEAK_COPYLEFT,friendsofsylius/sylius-import-export-plugin@0.28.0 (MIT) -> sylius/sylius@v2.2.8 (None) -> paragonie/halite@v5.1.4 (MPL-2.0)
7824,friendsofsylius/sylius-import-export-plugin,0.28.0,MIT,paragonie/hidden-string,v2.2.0,MPL-2.0,WEAK_COPYLEFT,friendsofsylius/sylius-import-export-plugin@0.28.0 (MIT) -> sylius/sylius@v2.2.8 (None) -> paragonie/halite@v5.1.4 (MPL-2.0) -> paragonie/hidden-string@v2.2.0 (MPL-2.0)
7834,sizeg/yii2-jwt,v2.0.2,Unspecified,ezyang/htmlpurifier,v4.19.0,LGPL-2.1-or-later,WEAK_COPYLEFT,sizeg/yii2-jwt@v2.0.2 (None) -> yiisoft/yii2@2.0.55 (BSD-3-Clause) -> ezyang/htmlpurifier@v4.19.0 (LGPL-2.1-or-later)
7936,moonlandsoft/yii2-phpexcel,2.0.0,MIT,ezyang/htmlpurifier,v4.19.0,LGPL-2.1-or-later,WEAK_COPYLEFT,moonlandsoft/yii2-phpexcel@2.0.0 (MIT) -> yiisoft/yii2@2.0.55 (BSD-3-Clause) -> ezyang/htmlpurifier@v4.19.0 (LGPL-2.1-or-later)
7970,mihaildev/yii2-elfinder,1.4.0,BSD-3-Clause,ezyang/htmlpurifier,v4.19.0,LGPL-2.1-or-later,WEAK_COPYLEFT,mihaildev/yii2-elfinder@1.4.0 (BSD-3-Clause) -> yiisoft/yii2@2.0.55 (BSD-3-Clause) -> ezyang/htmlpurifier@v4.19.0 (LGPL-2.1-or-later)
7984,wikimedia/remex-html,6.0.1,MIT,wikimedia/utfnormal,4.0.0,GPL-2.0-or-later,STRONG_COPYLEFT,wikimedia/remex-html@6.0.1 (MIT) -> wikimedia/utfnormal@4.0.0 (GPL-2.0-or-later)
8081,previousnext/coding-standard,1.2.0,MIT,drupal/coder,9.0.1,GPL-2.0-or-later,STRONG_COPYLEFT,previousnext/coding-standard@1.2.0 (MIT) -> drupal/coder@9.0.1 (GPL-2.0-or-later)
8081,previousnext/coding-standard,1.2.0,MIT,phpcsstandards/phpcsutils,1.2.3,LGPL-3.0-or-later,STRONG_COPYLEFT,previousnext/coding-standard@1.2.0 (MIT) -> drupal/coder@9.0.1 (GPL-2.0-or-later) -> sirbrillig/phpcs-variable-analysis@v3.0.0 (BSD-2-Clause) -> phpcsstandards/phpcsutils@1.2.3 (LGPL-3.0-or-later)
8129,frosh/development-helper,3.0.1,MIT,dompdf/dompdf,v3.1.6,LGPL-2.1,WEAK_COPYLEFT,frosh/development-helper@3.0.1 (MIT) -> shopware/core@v6.7.13.1 (MIT) -> dompdf/dompdf@v3.1.6 (LGPL-2.1)
8129,frosh/development-helper,3.0.1,MIT,dompdf/php-font-lib,1.0.2,LGPL-2.1-or-later,WEAK_COPYLEFT,frosh/development-helper@3.0.1 (MIT) -> shopware/core@v6.7.13.1 (MIT) -> dompdf/dompdf@v3.1.6 (LGPL-2.1) -> dompdf/php-font-lib@1.0.2 (LGPL-2.1-or-later)
8129,frosh/development-helper,3.0.1,MIT,dompdf/php-svg-lib,1.0.2,LGPL-3.0-or-later,STRONG_COPYLEFT,frosh/development-helper@3.0.1 (MIT) -> shopware/core@v6.7.13.1 (MIT) -> dompdf/dompdf@v3.1.6 (LGPL-2.1) -> dompdf/php-svg-lib@1.0.2 (LGPL-3.0-or-later)
8129,frosh/development-helper,3.0.1,MIT,ezyang/htmlpurifier,v4.19.0,LGPL-2.1-or-later,WEAK_COPYLEFT,frosh/development-helper@3.0.1 (MIT) -> shopware/core@v6.7.13.1 (MIT) -> ezyang/htmlpurifier@v4.19.0 (LGPL-2.1-or-later)
8129,frosh/development-helper,3.0.1,MIT,smalot/pdfparser,v2.12.5,LGPL-3.0,STRONG_COPYLEFT,frosh/development-helper@3.0.1 (MIT) -> shopware/core@v6.7.13.1 (MIT) -> horstoeko/zugferd@v1.0.130 (MIT) -> smalot/pdfparser@v2.12.5 (LGPL-3.0)
8129,frosh/development-helper,3.0.1,MIT,setasign/tfpdf,v1.33,LGPL-2.1,WEAK_COPYLEFT,frosh/development-helper@3.0.1 (MIT) -> shopware/core@v6.7.13.1 (MIT) -> setasign/tfpdf@v1.33 (LGPL-2.1)
8137,mihaildev/yii2-ckeditor,1.0.1,BSD-3-Clause,ezyang/htmlpurifier,v4.19.0,LGPL-2.1-or-later,WEAK_COPYLEFT,mihaildev/yii2-ckeditor@1.0.1 (BSD-3-Clause) -> yiisoft/yii2@2.0.55 (BSD-3-Clause) -> ezyang/htmlpurifier@v4.19.0 (LGPL-2.1-or-later)
8152,marcorieser/statamic-livewire,v5.3.2,Unspecified,james-heinrich/getid3,v1.9.25,"GPL-1.0-or-later, LGPL-3.0-only",STRONG_COPYLEFT,"marcorieser/statamic-livewire@v5.3.2 (None) -> statamic/cms@v6.30.0 (proprietary) -> james-heinrich/getid3@v1.9.25 (GPL-1.0-or-later, LGPL-3.0-only, MPL-2.0)"
8160,sylius/cms-plugin,v1.1.6,MIT,paragonie/halite,v5.1.4,MPL-2.0,WEAK_COPYLEFT,sylius/cms-plugin@v1.1.6 (MIT) -> sylius/sylius@v2.2.8 (None) -> paragonie/halite@v5.1.4 (MPL-2.0)
8160,sylius/cms-plugin,v1.1.6,MIT,paragonie/hidden-string,v2.2.0,MPL-2.0,WEAK_COPYLEFT,sylius/cms-plugin@v1.1.6 (MIT) -> sylius/sylius@v2.2.8 (None) -> paragonie/halite@v5.1.4 (MPL-2.0) -> paragonie/hidden-string@v2.2.0 (MPL-2.0)
8202,wbraganca/yii2-dynamicform,v2.0.3,BSD-3-Clause,ezyang/htmlpurifier,v4.19.0,LGPL-2.1-or-later,WEAK_COPYLEFT,wbraganca/yii2-dynamicform@v2.0.3 (BSD-3-Clause) -> yiisoft/yii2@2.0.55 (BSD-3-Clause) -> ezyang/htmlpurifier@v4.19.0 (LGPL-2.1-or-later)
8249,statamic-rad-pack/runway,v9.6.2,mit,james-heinrich/getid3,v1.9.25,"GPL-1.0-or-later, LGPL-3.0-only",STRONG_COPYLEFT,"statamic-rad-pack/runway@v9.6.2 (mit) -> statamic/cms@v6.30.0 (proprietary) -> james-heinrich/getid3@v1.9.25 (GPL-1.0-or-later, LGPL-3.0-only, MPL-2.0)"
8254,calebdw/larastan,v3.12.3,MIT,phpmyadmin/sql-parser,6.0.0,GPL-2.0-or-later,STRONG_COPYLEFT,calebdw/larastan@v3.12.3 (MIT) -> phpmyadmin/sql-parser@6.0.0 (GPL-2.0-or-later)
